timestamp,A,AAL,AAP,ABBV,ABC,ABT,ACN,ADBE,ADI,ADS,AEE,AEP,AES,AFL,AGN,AIG,AKAM,ALB,ALGN,ALK,ALL,ALLE,ALXN,AMD,AME,AMG,AMGN,AMP,AMT,AMZN,ANSS,ANTM,AON,AOS,APA,APD,APH,ARE,ATVI,AWK,AXP,AYI,GOOG,GOOGL,LNT,MMM,MO
2019-06-24,73.14,31.82,152.33,78.45,83.52,84.71,186.11,299.87,112.9,134.47,76.9,90.9,16.63,55.02,129.57,53.32,78.74,68.01,282.16,62.42,102.19,107.89,126.98,29.26,87.85,88.04,184.83,147.72,214.55,1913.9,201.39,290.53,193.52,45.87,29.07,223.64,95.62,145.62,47.15,118.4,124.14,135.4,1115.52,1116.7,49.81,173.38,48.49
2019-06-25,72.51,31.26,154.5,65.7,84.28,84.24,184.9,287.97,110.28,134.42,76.58,90.37,16.65,54.95,162.43,52.73,77.81,67.79,276.02,61.94,101.61,107.57,125.15,28.86,87.56,88.51,184.44,143.7,210.81,1878.27,196.45,285.18,193.25,46.09,28.22,224.7,94.79,142.17,46.2,117.18,123.16,133.63,1086.35,1087.58,49.78,172.03,48.78
2019-06-26,72.14,31.46,149.93,68.0,83.78,82.96,183.31,288.72,110.87,135.38,74.73,88.5,16.32,54.24,164.0,52.26,78.61,69.16,268.08,61.91,99.49,107.59,125.34,29.92,87.83,90.12,183.17,146.12,205.8,1897.83,198.68,278.84,189.89,46.18,29.03,223.93,95.43,138.91,46.73,115.31,123.59,134.54,1079.8,1080.32,48.98,171.88,47.94
2019-06-27,73.19,32.15,151.71,70.0,85.63,83.69,183.0,293.23,112.84,137.3,74.65,87.9,16.54,54.55,166.01,53.05,79.42,69.52,269.95,63.11,100.14,108.77,126.11,30.74,88.26,91.41,184.02,144.03,205.85,1904.28,200.87,282.42,192.57,46.08,28.64,223.5,95.65,140.06,47.28,115.26,123.94,134.25,1076.01,1076.63,48.93,171.5,47.9
2019-06-28,74.67,32.61,154.14,72.72,85.26,84.1,184.77,294.65,112.87,140.13,75.11,88.01,16.76,54.81,167.43,53.28,80.14,70.41,273.7,63.91,101.69,110.55,130.98,30.37,90.84,92.14,184.28,145.16,204.45,1893.63,204.82,282.21,192.98,47.16,28.97,226.37,95.94,141.09,47.2,116.0,123.44,137.91,1080.91,1082.8,49.08,173.34,47.35
2019-07-01,75.78,32.88,156.59,73.4,85.59,84.49,186.87,300.97,115.0,142.76,75.21,88.13,16.77,55.82,167.52,53.84,80.38,70.33,271.68,63.71,103.15,111.52,131.28,31.2,92.11,92.02,186.35,145.75,202.3,1922.19,208.11,282.72,195.14,46.93,29.2,228.82,97.87,143.19,47.5,115.73,124.92,141.02,1097.95,1100.0,48.99,174.51,47.69
2019-07-02,75.61,32.19,159.79,74.23,85.46,84.95,188.6,301.39,113.51,146.41,75.9,89.19,16.95,56.21,169.54,53.79,80.46,69.87,270.9,63.09,103.27,110.26,134.08,31.24,91.22,90.14,186.64,146.02,205.63,1934.31,206.59,280.66,195.93,46.99,27.4,230.27,98.39,144.27,47.98,117.28,125.1,129.95,1111.25,1112.6,49.69,174.02,48.6
2019-07-03,76.8,32.72,160.63,74.96,87.59,85.64,190.97,305.7,113.17,146.81,76.52,90.14,17.28,56.85,169.61,54.83,81.28,71.54,275.0,63.84,104.63,110.51,133.35,31.19,91.91,90.73,188.58,147.82,210.17,1939.0,209.33,282.78,198.48,46.79,27.28,231.4,99.11,145.8,48.66,118.43,125.86,135.17,1121.58,1122.99,50.18,174.98,49.19
2019-07-05,75.75,32.46,160.62,72.99,87.97,85.42,191.39,303.98,112.86,148.25,76.45,89.84,17.12,56.81,167.69,54.61,81.7,70.51,273.29,64.07,104.49,110.99,130.3,31.5,91.09,91.05,185.94,150.12,209.04,1942.91,209.51,284.06,197.58,47.01,27.18,230.58,98.32,145.0,48.15,117.96,125.4,130.69,1131.59,1132.66,49.95,172.0,48.78
2019-07-08,73.84,32.79,158.19,71.22,87.83,85.09,190.31,302.92,111.83,146.71,76.47,89.93,17.15,56.65,164.95,54.96,81.19,70.19,272.24,64.68,104.38,109.98,125.3,32.04,90.6,89.52,182.24,148.94,208.95,1952.32,207.93,284.74,196.47,45.21,26.5,228.31,97.56,145.74,46.47,118.02,124.85,131.47,1116.35,1116.79,49.93,169.19,49.08
